Ulasan,Rating,Membantu
"Akhirnya paket mendarat dengan selamat🥰🥰.
Alhamdulillah muka aku cocok pake skincare g2g,ini udh kesekian kalinya aku pesen thank youuu🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶",5,0
"Moisturizer sama serum nya tidak ada tolong dong kalo jualan yang bener yg amanah, saya sangat kecewa dengan harga 139. 500 byr ke kurir cuma di kasih toner+brightening c... ",1,0
Barangnya Alhamdulillah bagus tapi kecewa banget sama serum ny pesah 🥲😭,2,0
"Bahan: Bahan bagus
Manfaat produk: Bagus sekali",5,0
"di aku cocok yang kulit sensitif, tapi ya sesuai. ngilangin bekas jerawat emg lama, aku ga sesuaian ini buat muka yg sedikit gradakan/jerawatan krn mungkin ini fokus nya... ",5,0
bagus sesuai dan ori g palsu saya sudah cek tdk ada kerusakan pada barang cepet datengnya kurirnya juga baik kok ramah bgt,5,0
"Bahan: Sangat baik
Manfaat produk: Bagus untuk wajah
Jenis kulit: Cocok di kulit saya",5,0
"Bahan: Berkualitas
Manfaat produk: Kecantikan
Jenis kulit: Normal
Sudah banyak stok mantap",5,0
"packing aman barang lengkap kualitas oke harga bersahabat 
Semoga cocok di aku terimakasih seller",5,0
"bagus banget, wangi, dapet banyak, dan paling cantik ini bener"" ori/ bpom, semoga cocok di aku",5,0
"Manfaat produk: Halus
Bagus dan cocok dikulit",4,0
"Barangnya datang cepat, paketannya bagus dan rapih. Baru pertama kali pesan mudah2an cocok di akunya, biar bisa di order lagi. Kurirnya juga ramah.🥰",5,0
Pengiriman cepat .barang sampai dg selamat baru mau coba..semoga ccok,5,0
Sudah sampai barangnya aman packing aman juga bubble warpe nya di dobel dan Belum di coba karena baru datang mudahan cocok,5,0
"Manfaat produk: Mencerahkan wajah
Jenis kulit: Berminyak
Tidak dapat bonus nya padahal pas live kata nya beli 4 gratis 1 tapi gak dapat bonus nya",4,0
"Bahan: bagus bgtt
Manfaat produk: mencerahkan kulit
Jenis kulit: kusam",5,0
"Sesuai, terimakasih seller n kurir🙏🏻",5,0
Cocok pake moizturizernya sama tonernya semoga yg lain cocok,5,0
"Jenis kulit: Kusam
Baru pertama kali pakai
Semoga cocok dikulitku",4,0
"Seperti biasa,bagussss dapet diskon pokoknya mantap,pengiriman cepat pol, packing aman,luv pokoknya, makasih",5,0
"Paket cepat sampai tapi ada yg bikin kecewa,bungkusnya ga pake kotak,cuma bubble wrp aja trs kemasan moisturizer nya kok lecet bgt ya kak 😮‍💨😮‍💨",3,0
Sudah cocok sama produk ini emang mantul ...harganya juga murah,5,0
Mantap gan lanjutkan dengan baik dan benar serta selalu jaga produknya,2,0
"Manfaat produk: Mengerahkan, menutrisi kulit,
Ini orderan aku kedua kalinya, 
Dan suka bgt sama produk nya 🥰",5,0
"Manfaat produk: Melembabkan kulit, mencerahkan kulit",5,0
"mantaaab,original,mudah²an cocok,biar bisa langganan terus.",5,0
"Telah mendarat😌moga cocok aja, KRNA baru prtama x pemakaian ky agak gatel... Pengiriman cepet, kurir 👍",5,0
Manfaat produk: Bgs bgt anakku SDH habis berpaket2 eajah anakku kinyis2 cocok dg prodak ini,5,0
ori pengiriman cepat nice,5,0
Alhamdulillah sudah dateng untuk barangnya aman sampai tujuan  mksih kk,5,0
"Jenis kulit: Normal
Bahan: Alami
Manfaat produk: Bagus sekali
Alhamdulillah cocok dikulit ku semoga bisa jd glowing ya",5,0
"Bahan: In sya Alloh aman
Manfaat produk: Mencerahkan
Jenis kulit: Normal, kering sensitif",5,0
Barang sampai dengan kondisi baik semoga cocok,5,0
Produk ori dan dikemas dg aman. 1 lagi nyampenya cepat. Kemarin order hari ini udh sampe,5,0
Bagus cuma sabun nya keluar ga tau bocor atau apa mudah mudahan aja ga banyak keluarnya,5,0
alhamdulillah paketku sudah datang...cepat bgt pengirimannya.,5,0
"Serum sudah pecah dri tokonya ini tetapi di biarkan saja, dan ini kondisi tumpah” ka tolong dong ini solusi nya gmn ya kak.",1,0
Alhamdullah puas banget pekejingnya bgus dan cpat bnget nyampenya mksi ya😍,5,0
"gimana sih kok pecah kaya gini ganti rugi dong, kirim produk yang rusak tersebut",1,0
"pesanan sampai, kalo soal bagus atau ngga nya, jelas ini BANGUS BANGET, aku mulai pakai produk G2G pas mereka pertama kali launching sampai sekarang, dan memang cocok di... ",5,0
"Paket sampainya cpt bgt, packing nya aman bgt, barang mulus tanpa cacat sampai dengan selamat, terimakasih kk, sukses selalu lancar usahanya, dan semoga produknya cocok d... ",5,0
"Bahan: Aman
Manfaat produk: Mencerahkan kulit
Jenis kulit: Normal",5,0
"Jenis kulit: Normal
Bahan: Lembut
Manfaat produk: Melembabkan dan mencerahkan",5,0
"Bahan: Bagus
Manfaat produk: Baik
Jenis kulit: Cocok",5,0
"Manfaat produk: Mencerahkan kulit wajah
Bahan: Lembutt
Jenis kulit: Cocok untuk kulit kusam",5,0
"Manfaat produk: Bagus bangett
Bahan: Ademmm
Jenis kulit: Cocok untuk semua jenis kulittt",5,0
Sesuai dengan pesanan.. lain kali order lgy. . Untuk pengiriman cepet juga,5,0
"Bahan: Bagus
Manfaat produk: Untuk semua jenis kulit",5,0
"Slalu pakai produk g2g, gak pernah bosen pilih smua produk nya krna se cocok dan semantu itu🥰🤗🥰",5,0
"Bahan: Cair
Manfaat produk: Mencerahkan
Jenis kulit: Cocok untuk Semua jenis kulit",5,0
Pengiriman aman lancar dan ini Pembelian paket kedua.Semoga cocok seterusnya.,5,0
"Manfaat produk: Untuk mencerahkan
Bahan: Bagus mantap
Jenis kulit: Kering&flek hitam
Semogaaaa cocok dengan kulitku",5,0
"Jenis kulit: Kering dan normal
Paket ku udh sampe, pengiriman cepat packing aman,semoga cocok di aku😊 terimakasih 🙏🏻",5,0
Mantap sesuai harapan,5,0
"Sesuai pesanan
Jenis kulit: Cocok digunakan",5,0
"Alhamdulillah barangx sudah sampai makassar aman, dpt hrg 142😍",5,0
"aku beli paket isi 4 tapi yg dateng cuma 2, aku udh kirim vid unboxing udh ikutin saran untuk pengembalian tapi tetep di tolak dengan alasan vid tidak valid. lain kali ka... ",1,0
"wahh sangat memuaskan barang nya baguss sesuai pesanan pengiriman cepet baru kmrn pesen skrng nyampe packaging nya rapi bubble wrap nya tebel
mantab deh pokonya👍",5,0
Pengiriman cepet produk nya bener² bagus semoga cocok terus di muka aku bakalan jadi langganan terus .nyerap di muka bikin cerah juga,5,0
"Manfaat produk: Untuk mencerah kan kulit
Jenis kulit: Sawo matang
Bahan: Lembut",5,0
"Bahan: Lembut
Manfaat produk: Mencerahkan
Jenis kulit: Bikin glowing dan bersih",5,0
Semua produk aku suka wangi kembut engga lengket,5,0
"Ini gmna ko gada tutup nya, cumn bgini doang. Syaa liat"" Video ada tutup annya.",1,0
Pecah Kek Gini Kok Masih Di Kirim Udah 2 kali pesan Kek Gini Terus Lebih Ber Hati-Hati Lagi Dong Pengirimannya😑😡,1,0
"Bahan: Sesuai dengan pesanan
Manfaat produk: Melembabkan kulit
Jenis kulit: Semua jenis kulit bisa
Terimakasih seller sudah amanah semoga makin sukses trimakasih jga buat... ",5,0
"Sesuai sam harga, cepat sampai, Pecking ny rapi, ga ada yg produk yg rusak, thanks Seller",5,0
"Bahan: Lembut
Manfaat produk: Menghaluskan & menyamakan noda hitam
Jenis kulit: Normal",5,0
"Terimaksih paketnya sudah mndarat dengan baik tidak ada lecet sedikit pun peking bagus mksh
Semoga cocok 😁🥰",5,0
"Bahan: Lembut
Manfaat produk: Mecerahkan
Jenis kulit: Normal
Semoga cocok",5,0
"Barang sesuai pesanan,pengemasan produk bagus",5,0
"Produk sampai dengan baik, pokoknya puas pake g2g, hasilnya memuaskan",5,0
"Jenis kulit: Berminyak
Manfaat produk: Mencerahkan dan memutihkan kulit
Bahan: Alami",5,0
"Pengiriman cepat penjualnya ramah ,di inbox langsung di respon 🙏🏻🥰Terimakasih semoga lancar terus 🤲🏻😍",5,0
"Tokohnya amanah
Barang sampai dengan cepat dan kemasan nya rapi",5,0
"Sengaja baru kasi ulasan sekarang soalnya mau tau hasilnya bagus apa nggak, tapi masyaallah bagus banget yang tadi muka aku kering sekarang jadi lembut dan lembab",5,0
"Bahan: Ok
Manfaat produk: Ok
Jenis kulit: Ok",5,0
"Sumpah ini produknya bagus banget,baru aja aku make nya 2 hari udah langsung ada perubahannya bagus banget ini pengiriman nya cepat lagi ngak ada pakai nyangkut2 di perja... ",5,0
Baru beli semoga cocok kalo cocok auto langganan🫶🫶,5,0
Udh cocok pake g2g ga mau pindah k lain lg heheh,5,0
"Dh setahun pke g2g
Alhamdulillah msh baik2 saja,, dh cocok gk mau ganti2 skincare",5,0
Sdh.lengkap bagus...belum d coba semoga cocok,5,0
"Sudah sampai dengan selamat gk ada goresan, pengemasan rapi",5,0
"Barang datang sesuai pesanan, toko amanah pengiriman sangat cepat peking juga rapih, gx nyesel suka beli di toko ini terus.",5,0
"Produk nya bagus sesuai dengan pesenan, pengiriman barang nya cepat",5,0
semuanya baik dan cepet juga pengantaran nya,5,0
"Wangi bnget, lembut dan hargany terjangkau,,, semoga cocok d aku 😘",5,0
"Bahan: adalah pokoknya
Manfaat produk: adalah pokoknya
Jenis kulit: sawo matang",5,0
"Bahan: Bagus
Manfaat produk: jerawat dan flek hitam saya hilang.",5,0
Skincare nya sesuai pesanan saya dan di pakai nyaman banget di kulit dan tidak mengecewakan .,5,0
"paket datanh sesuai pesanan dan cepat 
pertama coba semoga cocok
thanks seller and tiktok 🤗",5,0
"Manfaat produk: Mencerahkan
Jenis kulit: Segala jenis kulit",5,0
"Pengiriman cepat packing aman,, baru pertama kali coba semoga cocok👍🏻👍🏻",4,0
Pengiriman agak lambat tapi barang nya sesuai dengan pesanan terimakasih.🙏,5,0
"Orderan yang kesekian kalinya 😍, aku 32 tahun pake ini cocok loh suka banget",5,0
"Bahan: Bagus
Manfaat produk: Mecerahkan wajah",5,0
"sudah pembelian K2, barang sesuai, pengiriman cepat, terimakasih seller dan pak kurir",5,0
"Alhamdulillah barang sudah sampe dan sesuai dengan yg dipesanan, pemgiriman juga cepat, terimakaih Seller dan Bang kurir smoga sukses selalu",5,0
Manfaat produk: Kulit menjadi lembab dan terlihat glowing.,5,0
Paketnya udah nyampe tapi baru kali dapat sabunnya tumpah dan kebuka plastikya,4,0
"pengiriman relatif cepat, dan barang seperti yg digambar",5,0
"Manfaat produk: Mrncerahkan kulit
Pokok nya  dari dulu aku selalu pakek glad 2glow GK pernah ganti
Jenis kulit: Normal",5,0
"Pengiriman cepat, produk sesuai dgn yg dipesan, kurirnya juga ramah & amanah",5,0
Creamnya lembut di kulit.  Pengiriman jg cepat,5,0
Kalu di aku produk g2g cocok di aku dan ini juga udah ke 3× nya aku order yang pertama khusus itu acne (hijau) dan  untuk order 2 &3 order yang mencerahkan (pink) dan... ,5,0
"Assalamualaikum maaf bru kasi ulasan
Pketnya G2G alhamdulillah bini gua suka sangat
Trimakasih tokonya dan amanah selalu
Thanks jg un kurir nya",4,0
Ini pesanan yg ke dua kali..walaupun belum ada perubahan masih pengen nyoba.klw yg ini juga gak ada perubahan yaah terpaksa berhenti .btw sabun nya udah di pake,5,0
"Skincare Yang Super nyaman di wajah,Setelah Bangun tidur Auto glowing Badaia",5,0
"Jenis kulit: Normal,semoga cocok biar terus langganan 🙏🏻",5,0
"pengiriman cepat, packing juga aman, semoga cocok",5,0
"lagi dan lagi tidak mengecewakan,,alhamdulilah di saya juga cocok flek hitam saya mulai memudar,,tokonya keren kualitah barang nya juga kern puas pokok nya 👍👍",5,0
"Manfaat produk: Baik u kulitku
Jenis kulit: Cocok",5,0
"Maaf baru kasih ulasan. 
Sudah habis 3paket Alhamdulillah cocok
Jenis kulit: Normal",5,0
"baru mau nyoba produk yg kata nya best, semoga cocok dikulit aku",5,0
Maaf baru review ..🙏🙏100%Baik dan ok,5,0
"Bahan: Lembut dikulit
Manfaat produk: utk mencerahkan wajah
Jenis kulit: berminyak ,",5,0
"Semoga cocok, barangnya aman pengiriman nya cepet tengku seller 🫶🏻",5,0
"pengiriman cepat, bagus untuk mencerahkan wajah, semoga tokonya selalu amanah",5,0
Jenis kulit: Sensitif smoga cocok ini pmkaian pket k dua,4,0
Thank ya g2g kmrin 12.12 dpt di hrga 100rban 😘,5,0
"Lucu ,gak ada kertas cara pke ""a ya",4,0
"aman aman, lengkap juga seperti di foto, makasih",5,0
"suka bgt sampe udh pesen berkali-kali
Jenis kulit: kusam
Manfaat produk: mencerahkan, meratakan kulit belang.
Bahan: baguss bgt",5,0
Maaf saya padahal beli karena liat di video sama di etalase ada tas produknya. Ini tapi dikirim tanpa tas. Untuk produk sesuai deskripsi tp ga sesuai aja antara video yg... ,3,0
awalnya mau beli ragu tapi banyak testimoni bilang bagus alhasil langsung beli,5,0
"Murah banget selalu dapet promo, berkali kali beli ditoko ini, sudah kadi langganan",5,0
"Alhmdllh pket nya udah sampe,,baru kmren pesen ,cepet banget sampe nya,,trimaksih sudah amanah,,kemasan nya rapi,,kurir baik udah langganan",5,0
Pengieiman cepat pesen kemarin hari ini udh sampai,5,0
"Luv banget sama brand ini karena udah ngerubah aku yang tadinya kusam Buluk sekarang jadi cerah dan glowing 🥹💗
Dan dianter sama mas kurir biasanya yang udah langganan👍... ",5,0
"Udah ke 5x nya mesan di toko ini amanah, toko nya",5,0
"Produk datang dalam kondisi aman, bagus",5,0
"Untuk kesekian kalinya😍
pengiriman cepat, packing juga rapih. Terimakasih banyak❤🥰",5,0
"Alhamdulillah barang udh Dateng kemasan rapi dan Abang kurir yg ramah,tapi blum dicoba produknya,semoga cocok",5,0
Sangat bagus hasil nya bakalan order lgi di toko ini,5,0
"Alhamdulillah paket nya sudah sampai,,ini pembelian ke2 walaupun nggk paket lengkap,gpp😊
Alhamdulillah masaya allah Beli lagi karna ada perubahan,bagus,agak cerahan",5,0
"Udh.. sampai dengan selamat, paket ny, produk oxe banget, cepat meresap.. wangi lembut di wajah, sesuai pesanan,oxe banget pokoknya, terimakasih tiktok shop Nex order lag... ",5,0
"Terimakasih, paketan nya sudah tiba. Masih segel.",5,0
"udah gaperlu ditanya lagi deh berapa kali beli g2g ini🥹💕 karena udah secocok dan senyaman ini pake g2g, udaah cintaa bgt sm produk ini dan gapernah coba"" yang lain... ",5,0
"Pesanan sudah sampai,,,kalau yg pencuci muka sebelumnya sudah memakai,,,tetapi untuk yg lain baru mau coba ,,,semoga cocok",5,0
Pertama kali pake G2G semoga cocok di kulit aku,5,0
"Terimakasih barang nya sesuai sekali, pengiriman cepat",5,0
"Bagussssssss, cocok diaku, pemakaian udah tiga minggu dan muka lebih cerah",5,0
"Barang bagus, sesuai di gambar Sagat bagus",5,0
Terimakasih paketnya sudah datang dengan baik. Semoga cocok diaku karna baru pertama pake,5,0
"Setelah sekian lama menanti akhirnya dtng juga,, semoga cocok di akuh, kurirnya ramah",5,0
"Barang sesuai..pengirimannya cepat..kurirnya ramah...
Mudah2an cocok dimuka AQ..",5,0
Mendarat dengan selamat mantul cocok banget pake ini jadi bersih dan glowing,5,0
"udah gaperlu ditanya lagi deh berapa kali beli g2g ini🥹💕 karena udah secocok dan senyaman ini pake g2g, udaah cintaa bgt sm produk ini dan gapernah coba"" yang lain... ",5,0
"Pesanan sudah sampai,,,kalau yg pencuci muka sebelumnya sudah memakai,,,tetapi untuk yg lain baru mau coba ,,,semoga cocok",5,0
Pertama kali pake G2G semoga cocok di kulit aku,5,0
"Terimakasih barang nya sesuai sekali, pengiriman cepat",5,0
"Bagussssssss, cocok diaku, pemakaian udah tiga minggu dan muka lebih cerah",5,0
"Barang bagus, sesuai di gambar Sagat bagus",5,0
Terimakasih paketnya sudah datang dengan baik. Semoga cocok diaku karna baru pertama pake,5,0
"Setelah sekian lama menanti akhirnya dtng juga,, semoga cocok di akuh, kurirnya ramah",5,0
"Barang sesuai..pengirimannya cepat..kurirnya ramah...
Mudah2an cocok dimuka AQ..",5,0
Mendarat dengan selamat mantul cocok banget pake ini jadi bersih dan glowing,5,0
"Bahan: baguss
Manfaat produk: bagusss
Jenis kulit: normall
emangg yang facial wash nyaa separuh gtu ya isinya",3,0
"Barang sesuai yg di pesan 
dan cepat nyampe nya, pokoknya debest pokoknya 🔥",5,0
"kak kok ga dapet tas nya ya, di iklan nya ada🙏🏻",3,0
Perdana Nyobain wangiiiiiii bangettt... Hasilnya mmg belum kliatan tpi berasa beda kok..,4,0
"Alhamdulillah Cocok, Bekas Jerawat Memudar, Makasih",5,0
Paket sudah datang aman makasih seller🙏🙏,5,0
"Barang sdh di terima, baru mulai pakai semoga  cocok",4,0
"Alhmdulillah barang nya udah sampai,semoga cocok💗",5,0
"Aq udah order ke sekian x nya..
Pokonya alhamdulillah sekarang muka aq cerah..",5,0
Sesuai deskripsi semoga cocok di kulit ku,5,0
"pengiriman sangat cepat, packing amann, Promonya ga kaleng² 😍😍 90 rb dapet 4 pcs dong 😍😍",5,0
"Alhamdulillah paket ku datang, packing aman jadi tidak rusak, thanks🥰",5,0
Ga asik banget g2g dikirkm cuman 3 item harusnya 4. Ga sesuai ga bisa kirim vidio unboxing sblm2 nya ga prnh kekurangan item nya sepercaya itu sama paket bundling g2g mak... ,1,0
"Barang dtng sesuai,cma yg buat cuci muka,isi nya cma setengh,kecewa sih",3,0
Alhamdulillah barang sudah sampai dengan aman dan cocok di aku udah 2 kali pesanan wajah aku jadi lebih cerah suka banget sama produknya soalnya wangi banget sukses selal... ,5,0
"Cepet bgt pesen baru sehari sampe, mantul pokoknya",4,0
maaf kak produk yg di kirimkan kurang lengkap.,1,0
Alhmdllh pktnya sudah dtng cpt skli brng2nya jg ocey semua trimakasih,5,0
Kesekian kalinya beli.. EMG semantul itu produk g2g. Bisa hilangin komedo muka gradakan 🥰 Lov lov buat G2G ❤️,5,0
"Terimakasih seller,,, produk nya sesuai 
Smga cocok di muka aku,,, untuk kurir juga ramah baik",3,0
"Barang sudah datang sesuai dengan pesanan,, blm di pakai semoga barang cocok dn bisa pesan kembali.",5,0
Barangdatang sesuai pesanan cepat sampainya,5,0
Baru pertama makez semoga rangkaiannya cocok,5,0
"Terima kasih paket nya sudah datang semoga lancar terus g2g dan toko nya 
Aku sangat suka banget produk nya 🥰",5,0
"bagus bangett sesuii,,tapii facial wash nyaa setengahh pdhll belum d pkee,,tapi gapapa lahh sukakk bangett 🥰🥰",5,0
"Baguss. Smga ccok 
Tapi sayang facial wash nya cuma isi setangah gak ful",3,0
Paket nya sudah sampai dengan baik produknya sesuai  Alhamdulillah cocok di aku muka aq sekarang lebih cerah dan glowing,5,0
Bagus bngt Produknya cocok dimuka akuhhh hehheeh,5,0
Baru mau nyoba semoga suaka sama hasilnya dan cocok di muka aku,5,0
"Brang smpai dengan selamat,packing rapih,kurir dah lngganan,eh maaf facial wash nya tk ke phto,,lmbut di wajah dan wangi jga,,",4,0
"Produk sesuai pesanan,smoga cocok di wajahku",5,0
Semoga aja cocok baru pertama pamakainan soalnya,5,0
packingan ny bagus mudah mudahan cocok sma kulit ku,5,0
"Alhamdulillah paketnya dah sampai, lngsung di aplikasikan dong di wajah, so kebetulan stock yg drumh uda pad  habis,",5,0
"Suka bget produk ini... Uda order yg ke 4 
Cocok di wajah aq..",5,0
"Paket dh nyampek dngn slmat,baru prtma kali pake sMoga ccok",4,0
"Akhirnya yg di tunggu nyampe ,mendarat dgn selamat pokonya Co yg kesekian kalinya produk nya memang seoke itu",5,0
"Paketnya udah d Terima,,, takirain ada krim mlmnya ternyata gk ada tpi gpp lh,,",5,0
"Paket g2g nya dach nyampe, pengiriman cepet bgt.",5,0
Baru smpe KK paket nya maksih semoga cocok KK d muka ku baru mau pake,5,0
"Terimakasih paketnya sudah ada,pertamakali paket semoga cocok🙏😇😇",4,0
"TrimakaAih baRang suDah saMpai dg cePat... 
Cocok saMa di kuLit saya...",5,0
"Baru pertama pakai skincare , semoga cocok",4,0
Barang sudah sampai sesuai pesanan. Baru nyoba dan mudah²an cocok,5,0
"Alhamdulillah kak paketnya sudah dateng, dan sesuai dengan pesanan, terimakasih banyak kak🙏🙏🙏",5,0
"Barang sampai dgn selamat,,mudah mudahan cocok yaa pemakaian g2g..",5,0
"Terimakasih,Alhamdulillah pengiriman ny cepat,,mantap..👍👍",5,0
ini gmn ko bru buka plastiik prtma..plastik dlem nya udh di robek² kaya bekas buka kcewa..,1,0
"pengiriman aman dan cepat
sukaaa bgt sama glad2Glow
terimakasih",5,0
Karna bumil aku balik lagi kesini emang mantul sih🤭🤩,5,0
Barang y bagus pokoknya mantap dah,5,0
"Paketnya udah sampee,tp yg 2 gak kepoto,karna udah dibawa sama anakk,Mudah2n cocok untuk anak ku",5,0
Barang nya udah mendarat dengan baik baru pertama nyoba semoga cocok dengan kulit ku,5,0
thx barang sesuai postingan goodjob...best seller...,5,0
Bagus produk Origional semoga cocok 🤲🥰,5,0
barang sih bgus tapi sabun nya aroma nya nyengat betul,3,0
"pesen yang 4in datangnya 2,udah chat admin tpi nunggu valid truss",1,0
"Mantap barang sesuai mkasih seller , mkasih juga buat bang kurirnya",5,0
2 paket pertama barter ini yg ke 3 👍👍👍,5,0
"produknya mantepp polll
Manfaat produk: mencerahkan",5,0
"Udah cocok, gk mau ganti ke lain lagi",5,0
"Manfaat produk: mencerahkan
Jenis kulit: kombinasi
inieh baguss sekaliii cock dimulai aku,
makasiii hhiiii 😍😍😍",5,0
"lovvvv bangettttt, uda seringg co disini...",5,0
Gak sesuai banget kecewa toner nya gak ada malah di ganti sama serum merah,2,0
"Pokoknya nyerahin kulit aku biar lebih glowing lagi.mudah mudahan cocok di aku.
Packingan yg rapih.",5,0
"Alhamdulillah.. Barang sampai dgn selamat 
Thank Seler fast Respon,Thank Babang kurir",5,0
"Yang Dateng cumah 3 , moisnya gak ada",3,0
"Barang sudah d treima dengan aman,,puas belnja d toko ini",5,0
Alhamdulillah sampe amanah semoga cocok cepet sampai nya,4,0
Alhamdulillah paketnyah udh Dateng cepat bngt 😊 mudah mudahan cocok di aku yh saya pemula,5,0
"Sudah datang paket nya aku baru mau nyoba semoga cocok, kalo cocok di aku order balik thanks [drool]",5,0
Dapet free peling🫶🏻 makasih ya g2g🫶🏻,5,0
"Alhamdulillah paketnya samapinya tidak lama 
Semoga cocok dimuka aku",5,0
"Pket y dah smpe , semoga cocok dengn produk glad2glow, sesuai degan yg d pesen",4,0
Pembelian ke 4 👍(2 paket pertama hanya moist skin barier+serum aja) 2 paket berikutnya yang ini 😍,5,0
baru dicoba semoga cocok diwajah anak gadis qu. trimakasih barang lengkap. cepat datang nya. kurir ramaj,5,0
Brang tertulis dpt 4 pcs tp yg dtg cuma 3 pcs,2,0
"Semoga cocok,,syg g dpt pouch nny",5,0
"Udh beli 2x dtoko ni,barangnya ORI,mksh",5,0
Baru pertama kali coba smoga hasilnya memuaskan,5,0
"Sesuai, ori",5,0
Alhamdulillah sudah langganan mantap,5,0
👍🏻👍🏻👍🏻👍🏻,5,0
Semoga cocok aku pemakaian prtama,5,0
"Barang datang dengan baik, produk sesuai",5,0
Apakah bisa d kirim lgi mois ny,3,0
Udah co ke 3x nya alhmdulillah cocok,4,0
Facial washnya kok bukan yg pink y kak,4,0
"Sesuai pesanan, baru coba fw yg ini semoga cocok",5,0
Kirain facial wash nya yg dateng milk eh yg blueberry,5,0
"Se♥️♥️♥️ itu sama glad2glow
Ini udh yang sekian kalinya beli di toko official nya",5,0
Terimaksih sesuai pesanan,4,0
"Bahan: lembut dan halus
Manfaat produk: bagus banget bikin kulit lembab dan cerah
Jenis kulit: teruntuk kulitku yang berminyak, tidak membuat kulit jadi mengkilat",5,0
"Alhamdulillah COCok. Makin Glowing Mie Mukak Makasih,",5,0
kok cuci muka sama toner nya beda? aku kira bakal pink semua,2,0
"bagus, sesuai pesanan, semoga cocok 🥰",5,0
Paket sudah sampai Alhamdulillah sesuai dengan pesanan udh langganan best👍,5,0
"Brang sudah di kirim dengan cepat,  mkasih semoga cocok 🥰",5,0
Bru pertma nyoba mudh mudhn ini cocok,5,0
"Pakai product G2G kedua kali, cocok dan bagus banget ke kulit wajah,, dan pengiriman cepat, aman packaging juga.. Mantap.. Trimss",5,0
"Bahan: cair, halus
Manfaat produk: cocok untuk kulit
Jenis kulit: cocok sekali dikulit ku",5,0
Alhamdulillah barang sudah sampai sesuai pesanan terimakasih kotonya amanah,5,0
Serum nya pecah gak tersisa parah,1,0
"Barang datang lengkap sesuai dengan deskripsi, bahan yang digunakan bagus untuk mencerahkan wajah.",5,0
"Sesuai pesanan cuma aku kira tonernya besar ternyata toner nya kecill, but over all baguss",4,0
"Paket nyampe produk lengkap
Alhamdulillah udah order 2 x ini barang original kulit wajah jadi halus kenceng glowing gk kusem seger..",5,0
"Bahan: -
Manfaat produk: mencerahkan
Jenis kulit: susah putih/kering",5,0
