Timestamp,Apakah kamu pernah menggunakan E-Commerce?,"Saat menggunakan e-commerce, kamu biasanya berperan sebagai…  ",Seberapa sering anda menggunakan aplikasi e-commerce,Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review),Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review),Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review),Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review),Menurutmu dari gambar berikut ini mana yang paling janggal (fraud)?,Mengapa anda memilih pertanyaan tersebut sebagai fraud (Fake Review),Seberapa yakin anda bahwa review ini adalah fraud (Fake Review)
11/18/2025 11:49:50,Ya,Pembeli,5,Kualitas produk baik produk original harganya bersahabat di kantong,karena kalimatnya terdengar kaku,4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Bahasanya teralu lebay,4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Penggunaan emotikonnya aneh,4,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,lebih pendek namun rating kategori terlihat tidak konsisten formatny,4,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",Review terlalu panjang dan banyak baris terpisah,4
11/18/2025 11:57:37,Ya,Pembeli,4,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah","Kalimat sangat hiperbola, fotonya gak ada tangan",4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Kalimatnya hiperbola sekali. Tidak selengkap yang atas,4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Merasa tidak ada yang janggal ,1,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",Kelihatannya tidak ada yang janggal,1,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",Dua-duanya kelihatan beneran ,1
11/18/2025 12:12:52,Ya,Pembeli,5,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah",Comment nya dengan bahasa terlalu baku ,4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Lebay,4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Belinya banyak banget? Foto untuk review terlalu niat,4,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",Comment review berlebihan,4,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",Gambar 1 kasih tau kekurangan juga,4
11/20/2025 11:12:19,Ya,Pembeli,5,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah",Karena Review pada gambar tersebut tidak memberikan testimoni terhadap barang yang dibeli dan hanya menjelaskan pengalaman belanja di toko e-commerce tersebut.,5,"Alhamdulillah bantal penghangatnya udah sampai, lumayan cepat pengirimannya. Udah dicoba juga dan berfungsi dgn baik. Terimakasih seller sukses selalu",Sebenarnya tidak ada yang salah dengan kedua gambar,1,Sdh sampe\nSemoga cocok\nTahan lama buay stok biar kaki g bau klo lg aktipitas\nMakasih kk,"Reviewnya lumayan ambigu. Tersebut bahwa barang dapat bertahan lama agar kaki tidak bau ketika beraktivitas namun ada sebutan ""semoga cocok"" yang menyebutkan bahwa review yang dibuat masih dalam kondisi baru dicoba",4,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",Tidak ada yang salah dengan kedua gambar,1,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,Kedua review tidak ada yang salah,1
11/20/2025 18:43:33,Ya,Pembeli,5,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah","Yang paling janggal adalah Gambar 2. Klaim pengirimannya terlalu ekstrem karena menyebut baru pesan kemarin dan langsung sampai pagi ini, padahal pola seperti itu sering dipakai di review palsu untuk menciptakan kesan layanan super cepat. Isi reviewnya juga dangkal dan tidak memberikan pengalaman nyata selain memuji harga dan kecepatan kirim secara generik. Foto produknya terlihat terlalu seragam dan terasa seperti materi yang diulang dari postingan lain. Gambar 1 jauh lebih natural karena gaya bahasanya wajar, penjelasan singkat tapi masuk akal, dan foto-fotonya tampak seperti dokumentasi nyata dari pengguna yang benar-benar memotret barangnya sendiri.",4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍","Yang paling janggal jelas Gambar 2. Gaya tulisannya terlalu meledak-ledak dengan capslock, emoji berlebihan, dan reaksi dramatis yang terasa dibuat untuk memancing emosi pembaca, bukan menggambarkan pengalaman nyata. Isinya juga hampir seluruhnya pujian tanpa detail penggunaan, tidak ada konteks yang masuk akal, dan nada promonya terlalu kuat. Dibandingkan itu, Gambar 1 jauh lebih wajar karena bahasanya datar, runtut, dan fokus pada hal-hal realistis seperti bahan, fungsi, dan pengalaman singkat setelah dicoba.",4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,"Gambar 1 yang paling janggal. Tulisannya terlalu rapi dan penuh pujian standar yang biasanya dipakai di review promosi, mulai dari pengemasan cepat, harga terjangkau, kualitas original, sampai packing super aman. Nada bahasanya mulus tanpa celah dan terasa seperti teks yang disusun untuk menjual, bukan pengalaman pengguna nyata. Foto-fotonya juga tampak sangat seragam dan tersusun rapi seperti materi katalog. Gambar 2 lebih masuk akal karena bahasanya jauh lebih spontan, ada konteks pemakaian untuk masalah kaki bau, dan struktur kalimatnya tidak terlalu dipoles sehingga terasa lebih natural sebagai review pengguna.",4,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍","Gambar 1 yang paling janggal. Teksnya terlalu panjang, penuh pujian beruntun tanpa henti, dan semua aspek produk disebut bagus sekaligus dari jahitan, ukuran, keamanan, pengemasan, kecepatan pengiriman, sampai penjualnya. Nada seperti ini biasanya muncul di review yang dibuat untuk nge-boost reputasi karena semuanya terasa mulus dan tidak ada satu pun detail personal atau pengalaman nyata. Kalimatnya juga dipaksa panjang dan rapih seperti copywriting. Gambar 2 jauh lebih natural karena bahasanya lebih santai, ada jeda, ada sentuhan personal, dan fokusnya tidak dibuat berlebihan.",4,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,"Gambar 1 yang paling janggal. Tulisannya terlalu pendek tapi dipaksa memuat banyak klaim positif sekaligus, dan cara penyampaiannya tidak natural karena kalimatnya menyambung terus tanpa struktur yang jelas sampai maknanya berantakan. Nadanya juga seperti jawaban cepat yang dibuat supaya terlihat positif, bukan pengalaman pengguna yang benar-benar mikir sebelum nulis. Tidak ada detail penggunaan, tidak ada konteks, dan gaya bahasanya terasa dipoles secara dangkal. Sebaliknya, Gambar 2 jauh lebih masuk akal karena penjelasannya runtut, ada cerita soal penggunaan untuk riding santai, ada interkom, ada spoiler, dan cara bicaranya lebih spontan.",4
11/21/2025 12:03:44,Ya,Pembeli,4,Kualitas produk baik produk original harganya bersahabat di kantong,mungkin karena gambarnya sama ,2,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",karena review kayak dibuat2 dan terlalu berlebihan,4,Sdh sampe\nSemoga cocok\nTahan lama buay stok biar kaki g bau klo lg aktipitas\nMakasih kk,bagaimana caranya tau kalo bisa tahan lama kalau baru dibeli,5,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",barang belum dicoba lama tapi sudah bilang bahan nya kuat,4,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",bagaimana bisa direview setelah beberapa hari saja ,4
11/21/2025 21:37:58,Ya,Pembeli,3,Kualitas produk baik produk original harganya bersahabat di kantong,gambar ke 2 dan ke 3 berbeda,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",karna hanya foto isinya saja,3,Sdh sampe\nSemoga cocok\nTahan lama buay stok biar kaki g bau klo lg aktipitas\nMakasih kk,video dan gambar berbeda,3,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,isinya tidak di kasih lihat,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,gambar hanya 1-2 sisi,3
11/21/2025 21:44:56,Ya,Pembeli,4,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah",Jarang pengiriman cuma 1 hr sampai dan pagi lagi sampainya,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",hanya foto penampilang gambar tampak depan saja,4,Sdh sampe\nSemoga cocok\nTahan lama buay stok biar kaki g bau klo lg aktipitas\nMakasih kk,aneh di komen krn info warna bening,4,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,foto cuma tampak depan saja,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,komen di warna sangat baguss,4
12/3/2025 9:48:04,Ya,Pembeli,5,Kualitas produk baik produk original harganya bersahabat di kantong,"TIdak detail, sangat umum",4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍","Reviewnya seperti di bagus""in",4,Sdh sampe\nSemoga cocok\nTahan lama buay stok biar kaki g bau klo lg aktipitas\nMakasih kk,"ulasan yang disingkat""",3,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍","Ulsannya seperti dibuat""",4,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,lebih pendek dari yg ke 2,3
12/3/2025 10:29:49,Ya,Pembeli,4,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah",Kedua ulasan terasa real,1,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",seperti dilebih-lebihkan,5,Sdh sampe\nSemoga cocok\nTahan lama buay stok biar kaki g bau klo lg aktipitas\nMakasih kk,Baru sampai tapi bisa tulis tahan lama,3,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",Kesannya terlalu positif,2,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",terlalu panjang untuk ulasannya,3
12/3/2025 10:53:04,Ya,Pembeli,4,Kualitas produk baik produk original harganya bersahabat di kantong,"Penggunaan kata kata untuk memberikan feedback terkesan kaku dan terlalu template, terlalu bias dengan menyebutkan harganya bersahabat",3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Terlalu berlebihan untuk mendeskripsikan suatu produk,4,Sdh sampe\nSemoga cocok\nTahan lama buay stok biar kaki g bau klo lg aktipitas\nMakasih kk,Review tidak lengkap dan kurang sincere daripada gambar 1,4,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,Terlalu banyak titik titik yang tidak perlu,4,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",Keterangan waktu pada review tidak masuk akal (02.13),4
12/3/2025 10:53:45,Ya,Pembeli,5,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah","Gaya bahasa seperti skrip promosi, bukan pengalaman natural",4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Terlalu emosional ,4,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Terlalu template kata-katanya dan menggunakan emoji,4,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,karena gambar 1 memperlihatkan beberapa like sedangkan gambar 2 tidak ada,4,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",Gaya bahasa sangat formal dan seperti template penjual,4
12/3/2025 11:01:17,Ya,Pembeli,5,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah",Kata tiba yang sudah mulai jarang dipakai di bahasa umum ,4,"Alhamdulillah bantal penghangatnya udah sampai, lumayan cepat pengirimannya. Udah dicoba juga dan berfungsi dgn baik. Terimakasih seller sukses selalu","Review dari Gambar ke dua terlalu alay, lebay, dan berlebihan. Tidak mungkin AI ",5,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Bahasa terlalu baku dan flat ,4,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,Terlalu banyak tanda baca ,4,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",Revoew di gambar dua sangat detail memberikan apay yabg mereka akan lakukan pada helm tersebut ,4
12/3/2025 11:05:46,Ya,Pembeli,3,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah",Lebih subjektif,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Lebih subjektif ,2,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Lebih subjektif,3,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",Ya,2,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",Panjang,3
12/3/2025 13:12:03,Ya,Pembeli,5,Kualitas produk baik produk original harganya bersahabat di kantong,Karena belum tentu original,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Gaada testimoni pemakaian jd ga yakin,3,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,TMI (Too much Info),4,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",TMI,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,Ga Detail jelasinnya,1
12/3/2025 13:21:23,Ya,Pembeli,4,Kualitas produk baik produk original harganya bersahabat di kantong,"karena agak aneh dari reviewnya, sm fotony yg dua”ny tampak depan doang",3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",reviewny kyk dibuat buat sama kategori pilihannya agak janggal,3,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,"logikany kl orng baru coba pasti coba satu doang ga langsung banyak, tp bs aja dia pembeli tetap. sama hrsny review jarang ada emote",3,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,biasa orng fotoin produk smpe hal yg kecilnya dan gambar 1 cukup detail untuk review,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,"ada kategori review yg aneh, kyk warna nya masa tulisanny sangat bagus, jd agak aneh",3
12/3/2025 13:27:15,Ya,Pembeli,5,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah",Karena mencurigakan ,3,"Alhamdulillah bantal penghangatnya udah sampai, lumayan cepat pengirimannya. Udah dicoba juga dan berfungsi dgn baik. Terimakasih seller sukses selalu",gapapa,3,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,mencurigakan ,4,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",mencurigakan ,3,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir",sangat mencurigakan ,4
12/3/2025 13:40:52,Ya,Pembeli,3,Kualitas produk baik produk original harganya bersahabat di kantong,Karena kurang detail ,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",Kurang detail mengenai produk,2,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,Tidak menyertakan hasil ,2,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,Tidak sedetail gambar 1,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,tidak mereview produk,3
12/3/2025 14:04:12,Ya,Pembeli,5,Kualitas produk baik produk original harganya bersahabat di kantong,penggunaan tata bahasa yang terlalu sempurna,3,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍",kata kata yang di gunakan terlalu berlebihan,3,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,sangat memuji barang ,3,Alhamdulillah bagus bangett tas nya ... finishing nya rapih .. warnanya juga cantik ... sesuai dengan picture dan harganya ga mahal 🤭,kurangnya detail spesifik ,3,helm sampai dengan cepat dan kasih dong keamanan juga pada kardua nya biar tidak remuk tapi kualitas help terbaik makasih buat pengirim nya,tidak ada kejelasan ulasan tentang suatu produk isinya hanya pujian,3
12/3/2025 14:05:08,Ya,Pembeli,4,"Harganya lumayan lebih murah, pengiriman juga cepat banget baru order kemarin dan pagi ini udah tiba di rumah","Reviewnya terlalu panjang, terlalu dilebih-lebihkan",4,"Bagus banget bahannya tebel, BENER"" BAGUS WOY AH ELAHHH 😭😭\nMAU NANGISSSS makasih seller berkah terus jualannya dan amanah teruS ya SYUKAAA BANGET TOLONGGG 😗😍","Fotonya sama cuma beda rotasi, deskripsinya juga terlalu lebay",5,Pengemasan dan pengiriman sangat cepat. Harga cukup terjangkau dan kebetulan lagi diskon 😂 Produk bagus dan Original. Packing super aman. Terbaiks pkoknya. Terimaksih banyak seller 🔥,"Kalimat terlalu detail, janggal, tidak seperti komentar biasanya",4,"Produk sangat bagus, jahitan rapi dan kuat, ukuran sesuai deskripsi sangat besar, pengemasan sangat aman, pengiriman sangat baik dan cepat, penjual fast respon, ramah dan amanah,, recomended banget,, 👍👍",Terlalu detail,3,"Terimakasih kak paketnya sudah diterima dalam keadaan baik sesuai dengan pesanan\nHelm nya sih lumayan untuk sekedar riding santai dan gaya,\nLangsung dipasangkan interkom e1\nJadi tambah gaya\nUntuk pengiriman nya juga lumayan cepat\nOh iya udah dapet free spoiler nya juga\n Makasih seller dan kurir","Karena terlalu detail, terlalu tepat, tidak ada human error",3
