id,original_text,rating,helpful,text,decision,confidence,suspicion_score,key_features,llm_contribution
11,"makasih kak paket nyah dah dateng dengan cepat,barang nyah sesuai dengan di gambar😍😍😍😍",5,0,"makasih kak paket nyah dah dateng dengan cepat,barang nyah sesuai dengan di gambar😍😍😍😍",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 1, 'gibberish_spam': 0, 'word_count': 13}",0.0
12,"bagus, sampai dengan keadaan baik, pengiriman juga cepat, respon nya juga cepat. baru mau coba semoga ada perubahan",5,0,"bagus, sampai dengan keadaan baik, pengiriman juga cepat, respon nya juga cepat. baru mau coba semog...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 18}",0.0
13,untuk facial wash emg isinya setengah yaa ? tak kirain penuh ampe atas trnyata setengah botol,4,0,untuk facial wash emg isinya setengah yaa ? tak kirain penuh ampe atas trnyata setengah botol,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 16}",0.0
14,"bagus wangi, tapi cuman facial wash nya dikit isinya:v tapi enak keseluruhan",4,0,"bagus wangi, tapi cuman facial wash nya dikit isinya:v tapi enak keseluruhan",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 12}",0.0
15,"pengiriman cpt,,udh langganan belanja dsni",5,0,"pengiriman cpt,,udh langganan belanja dsni",Real,0.9,1.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 5}",0.0
16,"pengiriman nya cepat, produk juga aman sampai ke lokasi, next belanja disini lagi",5,0,"pengiriman nya cepat, produk juga aman sampai ke lokasi, next belanja disini lagi",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 13}",0.0
17,barang sudah saya terima.. produk sesuai pesanan dan wajah istri saya makin cantik + glowing... pemakean 3 hari hasilnya langsung kelihatan... pokoknya bagi yang ingin is...,5,0,barang sudah saya terima.. produk sesuai pesanan dan wajah istri saya makin cantik + glowing... pema...,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 26}",0.0
18,sudah datanggg. baru juga smlm di cekoutin eh udah sampai aja ni paketnya. smga cocok pake ini🥰,5,0,sudah datanggg. baru juga smlm di cekoutin eh udah sampai aja ni paketnya. smga cocok pake ini🥰,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 17}",0.0
19,"paket sdah saya terima,baru pertama memakai yaaa,semoga cocok di kulitku",5,0,"paket sdah saya terima,baru pertama memakai yaaa,semoga cocok di kulitku",Fake,0.798,3.95,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 10}",0.317
20,"baru kali ini aku beli di online biasa nya aku beli langsung ke toko skincare, dan semoga ini tidak kw ya..",4,0,"baru kali ini aku beli di online biasa nya aku beli langsung ke toko skincare, dan semoga ini tidak ...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 21}",0.0
21,"barang sudah sampai sesuai dengan pesanan,,terima kasih",5,0,"barang sudah sampai sesuai dengan pesanan,,terima kasih",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 7}",0.0
22,manfaat produk: smoga bsa ada perubahan setelah d pakai. mohon info cara pakainya ya kak,4,0,manfaat produk: smoga bsa ada perubahan setelah d pakai. mohon info cara pakainya ya kak,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 15}",0.0
23,"barang yg diterima lengkap, dan sesuai sama pesanan",5,0,"barang yg diterima lengkap, dan sesuai sama pesanan",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 8}",0.0
24,"manfaat produk: menyamarkan warna kulit yg belang ,dan aman untuk busui",5,0,"manfaat produk: menyamarkan warna kulit yg belang ,dan aman untuk busui",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 11}",0.0
25,"akhirnya paket mendarat dengan selamat🥰🥰. alhamdulillah muka aku cocok pake skincare g2g,ini udh kesekian kalinya aku pesen thank youuu🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶🫶",5,0,"akhirnya paket mendarat dengan selamat🥰🥰. alhamdulillah muka aku cocok pake skincare g2g,ini udh kes...",Fake,0.905,6.1,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 1, 'gibberish_spam': 1, 'word_count': 19}",0.365
26,"moisturizer sama serum nya tidak ada tolong dong kalo jualan yang bener yg amanah, saya sangat kecewa dengan harga 139. 500 byr ke kurir cuma di kasih toner+brightening c...",1,0,"moisturizer sama serum nya tidak ada tolong dong kalo jualan yang bener yg amanah, saya sangat kecew...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 29}",0.0
27,barangnya alhamdulillah bagus tapi kecewa banget sama serum ny pesah 🥲😭,2,0,barangnya alhamdulillah bagus tapi kecewa banget sama serum ny pesah 🥲😭,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 11}",0.0
28,bahan: bahan bagus manfaat produk: bagus sekali,5,0,bahan: bahan bagus manfaat produk: bagus sekali,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 7}",0.0
29,"di aku cocok yang kulit sensitif, tapi ya sesuai. ngilangin bekas jerawat emg lama, aku ga sesuaian ini buat muka yg sedikit gradakan/jerawatan krn mungkin ini fokus nya...",5,0,"di aku cocok yang kulit sensitif, tapi ya sesuai. ngilangin bekas jerawat emg lama, aku ga sesuaian ...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 28}",0.0
30,bagus sesuai dan ori g palsu saya sudah cek tdk ada kerusakan pada barang cepet datengnya kurirnya juga baik kok ramah bgt,5,0,bagus sesuai dan ori g palsu saya sudah cek tdk ada kerusakan pada barang cepet datengnya kurirnya j...,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 22}",0.0
31,bahan: sangat baik manfaat produk: bagus untuk wajah jenis kulit: cocok di kulit saya,5,0,bahan: sangat baik manfaat produk: bagus untuk wajah jenis kulit: cocok di kulit saya,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 14}",0.0
32,bahan: berkualitas manfaat produk: kecantikan jenis kulit: normal sudah banyak stok mantap,5,0,bahan: berkualitas manfaat produk: kecantikan jenis kulit: normal sudah banyak stok mantap,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 12}",0.0
33,packing aman barang lengkap kualitas oke harga bersahabat semoga cocok di aku terimakasih seller,5,0,packing aman barang lengkap kualitas oke harga bersahabat semoga cocok di aku terimakasih seller,Fake,0.903,6.07,"{'contradiction': 1, 'template_language': 1, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 14}",0.355
34,"bagus banget, wangi, dapet banyak, dan paling cantik ini bener"" ori/ bpom, semoga cocok di aku",5,0,"bagus banget, wangi, dapet banyak, dan paling cantik ini bener"" ori/ bpom, semoga cocok di aku",Fake,0.81,4.19,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 16}",0.398
35,manfaat produk: halus bagus dan cocok dikulit,4,0,manfaat produk: halus bagus dan cocok dikulit,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 7}",0.0
36,"barangnya datang cepat, paketannya bagus dan rapih. baru pertama kali pesan mudah2an cocok di akunya, biar bisa di order lagi. kurirnya juga ramah.🥰",5,0,"barangnya datang cepat, paketannya bagus dan rapih. baru pertama kali pesan mudah2an cocok di akunya...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 23}",0.0
37,pengiriman cepat .barang sampai dg selamat baru mau coba..semoga ccok,5,0,pengiriman cepat .barang sampai dg selamat baru mau coba..semoga ccok,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 10}",0.0
38,sudah sampai barangnya aman packing aman juga bubble warpe nya di dobel dan belum di coba karena baru datang mudahan cocok,5,0,sudah sampai barangnya aman packing aman juga bubble warpe nya di dobel dan belum di coba karena bar...,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 21}",0.0
39,manfaat produk: mencerahkan wajah jenis kulit: berminyak tidak dapat bonus nya padahal pas live kata nya beli 4 gratis 1 tapi gak dapat bonus nya,4,0,manfaat produk: mencerahkan wajah jenis kulit: berminyak tidak dapat bonus nya padahal pas live kata...,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 25}",0.0
40,bahan: bagus bgtt manfaat produk: mencerahkan kulit jenis kulit: kusam,5,0,bahan: bagus bgtt manfaat produk: mencerahkan kulit jenis kulit: kusam,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 10}",0.0
41,"sesuai, terimakasih seller n kurir🙏🏻",5,0,"sesuai, terimakasih seller n kurir🙏🏻",Real,0.9,1.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 5}",0.0
42,cocok pake moizturizernya sama tonernya semoga yg lain cocok,5,0,cocok pake moizturizernya sama tonernya semoga yg lain cocok,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 9}",0.0
43,jenis kulit: kusam baru pertama kali pakai semoga cocok dikulitku,4,0,jenis kulit: kusam baru pertama kali pakai semoga cocok dikulitku,Fake,0.805,4.11,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 10}",0.369
44,"seperti biasa,bagussss dapet diskon pokoknya mantap,pengiriman cepat pol, packing aman,luv pokoknya, makasih",5,0,"seperti biasa,bagussss dapet diskon pokoknya mantap,pengiriman cepat pol, packing aman,luv pokoknya,...",Fake,0.91,6.19,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 1, 'word_count': 12}",0.397
45,"paket cepat sampai tapi ada yg bikin kecewa,bungkusnya ga pake kotak,cuma bubble wrp aja trs kemasan moisturizer nya kok lecet bgt ya kak 😮‍💨😮‍💨",3,0,"paket cepat sampai tapi ada yg bikin kecewa,bungkusnya ga pake kotak,cuma bubble wrp aja trs kemasan...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 24}",0.0
46,sudah cocok sama produk ini emang mantul ...harganya juga murah,5,0,sudah cocok sama produk ini emang mantul ...harganya juga murah,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 10}",0.0
47,mantap gan lanjutkan dengan baik dan benar serta selalu jaga produknya,2,0,mantap gan lanjutkan dengan baik dan benar serta selalu jaga produknya,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 11}",0.0
48,"manfaat produk: mengerahkan, menutrisi kulit, ini orderan aku kedua kalinya, dan suka bgt sama produk nya 🥰",5,0,"manfaat produk: mengerahkan, menutrisi kulit, ini orderan aku kedua kalinya, dan suka bgt sama produ...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 17}",0.0
49,"manfaat produk: melembabkan kulit, mencerahkan kulit",5,0,"manfaat produk: melembabkan kulit, mencerahkan kulit",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 6}",0.0
50,"mantaaab,original,mudah²an cocok,biar bisa langganan terus.",5,0,"mantaaab,original,mudah²an cocok,biar bisa langganan terus.",Real,0.9,1.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 5}",0.0
51,"telah mendarat😌moga cocok aja, krna baru prtama x pemakaian ky agak gatel... pengiriman cepet, kurir 👍",5,0,"telah mendarat😌moga cocok aja, krna baru prtama x pemakaian ky agak gatel... pengiriman cepet, kurir...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 16}",0.0
52,manfaat produk: bgs bgt anakku sdh habis berpaket2 eajah anakku kinyis2 cocok dg prodak ini,5,0,manfaat produk: bgs bgt anakku sdh habis berpaket2 eajah anakku kinyis2 cocok dg prodak ini,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 15}",0.0
53,ori pengiriman cepat nice,5,0,ori pengiriman cepat nice,Real,0.9,1.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 4}",0.0
54,alhamdulillah sudah dateng untuk barangnya aman sampai tujuan mksih kk,5,0,alhamdulillah sudah dateng untuk barangnya aman sampai tujuan mksih kk,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 10}",0.0
55,jenis kulit: normal bahan: alami manfaat produk: bagus sekali alhamdulillah cocok dikulit ku semoga bisa jd glowing ya,5,0,jenis kulit: normal bahan: alami manfaat produk: bagus sekali alhamdulillah cocok dikulit ku semoga ...,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 18}",0.0
56,"bahan: in sya alloh aman manfaat produk: mencerahkan jenis kulit: normal, kering sensitif",5,0,"bahan: in sya alloh aman manfaat produk: mencerahkan jenis kulit: normal, kering sensitif",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 13}",0.0
57,barang sampai dengan kondisi baik semoga cocok,5,0,barang sampai dengan kondisi baik semoga cocok,Fake,0.81,4.2,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 7}",0.4
58,produk ori dan dikemas dg aman. 1 lagi nyampenya cepat. kemarin order hari ini udh sampe,5,0,produk ori dan dikemas dg aman. 1 lagi nyampenya cepat. kemarin order hari ini udh sampe,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 16}",0.0
59,bagus cuma sabun nya keluar ga tau bocor atau apa mudah mudahan aja ga banyak keluarnya,5,0,bagus cuma sabun nya keluar ga tau bocor atau apa mudah mudahan aja ga banyak keluarnya,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 16}",0.0
60,alhamdulillah paketku sudah datang...cepat bgt pengirimannya.,5,0,alhamdulillah paketku sudah datang...cepat bgt pengirimannya.,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 6}",0.0
61,"serum sudah pecah dri tokonya ini tetapi di biarkan saja, dan ini kondisi tumpah” ka tolong dong ini solusi nya gmn ya kak.",1,0,"serum sudah pecah dri tokonya ini tetapi di biarkan saja, dan ini kondisi tumpah” ka tolong dong ini...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 23}",0.0
62,alhamdullah puas banget pekejingnya bgus dan cpat bnget nyampenya mksi ya😍,5,0,alhamdullah puas banget pekejingnya bgus dan cpat bnget nyampenya mksi ya😍,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 11}",0.0
63,"gimana sih kok pecah kaya gini ganti rugi dong, kirim produk yang rusak tersebut",1,0,"gimana sih kok pecah kaya gini ganti rugi dong, kirim produk yang rusak tersebut",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 14}",0.0
64,"pesanan sampai, kalo soal bagus atau ngga nya, jelas ini bangus banget, aku mulai pakai produk g2g pas mereka pertama kali launching sampai sekarang, dan memang cocok di...",5,0,"pesanan sampai, kalo soal bagus atau ngga nya, jelas ini bangus banget, aku mulai pakai produk g2g p...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 28}",0.0
65,"paket sampainya cpt bgt, packing nya aman bgt, barang mulus tanpa cacat sampai dengan selamat, terimakasih kk, sukses selalu lancar usahanya, dan semoga produknya cocok d...",5,0,"paket sampainya cpt bgt, packing nya aman bgt, barang mulus tanpa cacat sampai dengan selamat, terim...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 26}",0.0
66,bahan: aman manfaat produk: mencerahkan kulit jenis kulit: normal,5,0,bahan: aman manfaat produk: mencerahkan kulit jenis kulit: normal,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 9}",0.0
67,jenis kulit: normal bahan: lembut manfaat produk: melembabkan dan mencerahkan,5,0,jenis kulit: normal bahan: lembut manfaat produk: melembabkan dan mencerahkan,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 10}",0.0
68,bahan: bagus manfaat produk: baik jenis kulit: cocok,5,0,bahan: bagus manfaat produk: baik jenis kulit: cocok,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 8}",0.0
69,manfaat produk: mencerahkan kulit wajah bahan: lembutt jenis kulit: cocok untuk kulit kusam,5,0,manfaat produk: mencerahkan kulit wajah bahan: lembutt jenis kulit: cocok untuk kulit kusam,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 13}",0.0
70,manfaat produk: bagus bangett bahan: ademmm jenis kulit: cocok untuk semua jenis kulittt,5,0,manfaat produk: bagus bangett bahan: ademmm jenis kulit: cocok untuk semua jenis kulittt,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 13}",0.0
71,sesuai dengan pesanan.. lain kali order lgy. . untuk pengiriman cepet juga,5,0,sesuai dengan pesanan.. lain kali order lgy. . untuk pengiriman cepet juga,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 12}",0.0
72,bahan: bagus manfaat produk: untuk semua jenis kulit,5,0,bahan: bagus manfaat produk: untuk semua jenis kulit,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 8}",0.0
73,"slalu pakai produk g2g, gak pernah bosen pilih smua produk nya krna se cocok dan semantu itu🥰🤗🥰",5,0,"slalu pakai produk g2g, gak pernah bosen pilih smua produk nya krna se cocok dan semantu itu🥰🤗🥰",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 1, 'gibberish_spam': 0, 'word_count': 17}",0.0
74,bahan: cair manfaat produk: mencerahkan jenis kulit: cocok untuk semua jenis kulit,5,0,bahan: cair manfaat produk: mencerahkan jenis kulit: cocok untuk semua jenis kulit,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 12}",0.0
75,pengiriman aman lancar dan ini pembelian paket kedua.semoga cocok seterusnya.,5,0,pengiriman aman lancar dan ini pembelian paket kedua.semoga cocok seterusnya.,Fake,0.806,4.12,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 10}",0.372
76,manfaat produk: untuk mencerahkan bahan: bagus mantap jenis kulit: kering&flek hitam semogaaaa cocok dengan kulitku,5,0,manfaat produk: untuk mencerahkan bahan: bagus mantap jenis kulit: kering&flek hitam semogaaaa cocok...,Fake,0.905,6.11,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 1, 'word_count': 15}",0.37
77,"jenis kulit: kering dan normal paket ku udh sampe, pengiriman cepat packing aman,semoga cocok di aku😊 terimakasih 🙏🏻",5,0,"jenis kulit: kering dan normal paket ku udh sampe, pengiriman cepat packing aman,semoga cocok di aku...",Fake,0.814,4.28,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 18}",0.426
78,mantap sesuai harapan,5,0,mantap sesuai harapan,Real,0.9,1.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 3}",0.0
79,sesuai pesanan jenis kulit: cocok digunakan,5,0,sesuai pesanan jenis kulit: cocok digunakan,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 6}",0.0
80,"alhamdulillah barangx sudah sampai makassar aman, dpt hrg 142😍",5,0,"alhamdulillah barangx sudah sampai makassar aman, dpt hrg 142😍",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 9}",0.0
81,"aku beli paket isi 4 tapi yg dateng cuma 2, aku udh kirim vid unboxing udh ikutin saran untuk pengembalian tapi tetep di tolak dengan alasan vid tidak valid. lain kali ka...",1,0,"aku beli paket isi 4 tapi yg dateng cuma 2, aku udh kirim vid unboxing udh ikutin saran untuk pengem...",Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 32}",0.0
82,wahh sangat memuaskan barang nya baguss sesuai pesanan pengiriman cepet baru kmrn pesen skrng nyampe packaging nya rapi bubble wrap nya tebel mantab deh pokonya👍,5,0,wahh sangat memuaskan barang nya baguss sesuai pesanan pengiriman cepet baru kmrn pesen skrng nyampe...,Real,1.0,0.0,"{'contradiction': 0, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 25}",0.0
83,pengiriman cepet produk nya bener² bagus semoga cocok terus di muka aku bakalan jadi langganan terus .nyerap di muka bikin cerah juga,5,0,pengiriman cepet produk nya bener² bagus semoga cocok terus di muka aku bakalan jadi langganan terus...,Fake,0.786,3.73,"{'contradiction': 1, 'template_language': 0, 'excessive_emotion': 0, 'gibberish_spam': 0, 'word_count': 22}",0.243
