ulasan_cleaned,Rating,Membantu
"moisturizer sama serum nya tidak ada tolong dong kalo jualan yang bener yg amanah, saya sangat kecewa dengan harga 139. 500 byr ke kurir cuma di kasih toner+brightening c...",1,0
barangnya alhamdulillah bagus tapi kecewa banget sama serum ny pesah 🥲😭,2,0
bahan: bahan bagus manfaat produk: bagus sekali,5,0
"di aku cocok yang kulit sensitif, tapi ya sesuai. ngilangin bekas jerawat emg lama, aku ga sesuaian ini buat muka yg sedikit gradakan/jerawatan krn mungkin ini fokus nya...",5,0
bagus sesuai dan ori g palsu saya sudah cek tdk ada kerusakan pada barang cepet datengnya kurirnya juga baik kok ramah bgt,5,0
bahan: sangat baik manfaat produk: bagus untuk wajah jenis kulit: cocok di kulit saya,5,0
bahan: berkualitas manfaat produk: kecantikan jenis kulit: normal sudah banyak stok mantap,5,0
packing aman barang lengkap kualitas oke harga bersahabat semoga cocok di aku terimakasih seller,5,0
"bagus banget, wangi, dapet banyak, dan paling cantik ini bener"" ori/ bpom, semoga cocok di aku",5,0
manfaat produk: halus bagus dan cocok dikulit,4,0
"barangnya datang cepat, paketannya bagus dan rapih. baru pertama kali pesan mudah2an cocok di akunya, biar bisa di order lagi. kurirnya juga ramah.🥰",5,0
pengiriman cepat .barang sampai dg selamat baru mau coba..semoga ccok,5,0
sudah sampai barangnya aman packing aman juga bubble warpe nya di dobel dan belum di coba karena baru datang mudahan cocok,5,0
manfaat produk: mencerahkan wajah jenis kulit: berminyak tidak dapat bonus nya padahal pas live kata nya beli 4 gratis 1 tapi gak dapat bonus nya,4,0
bahan: bagus bgtt manfaat produk: mencerahkan kulit jenis kulit: kusam,5,0
"sesuai, terimakasih seller n kurir🙏🏻",5,0
cocok pake moizturizernya sama tonernya semoga yg lain cocok,5,0
jenis kulit: kusam baru pertama kali pakai semoga cocok dikulitku,4,0
"seperti biasa,bagussss dapet diskon pokoknya mantap,pengiriman cepat pol, packing aman,luv pokoknya, makasih",5,0
"paket cepat sampai tapi ada yg bikin kecewa,bungkusnya ga pake kotak,cuma bubble wrp aja trs kemasan moisturizer nya kok lecet bgt ya kak 😮‍💨😮‍💨",3,0
sudah cocok sama produk ini emang mantul ...harganya juga murah,5,0
mantap gan lanjutkan dengan baik dan benar serta selalu jaga produknya,2,0
"manfaat produk: mengerahkan, menutrisi kulit, ini orderan aku kedua kalinya, dan suka bgt sama produk nya 🥰",5,0
"manfaat produk: melembabkan kulit, mencerahkan kulit",5,0
"mantaaab,original,mudah²an cocok,biar bisa langganan terus.",5,0
"telah mendarat😌moga cocok aja, krna baru prtama x pemakaian ky agak gatel... pengiriman cepet, kurir 👍",5,0
manfaat produk: bgs bgt anakku sdh habis berpaket2 eajah anakku kinyis2 cocok dg prodak ini,5,0
ori pengiriman cepat nice,5,0
alhamdulillah sudah dateng untuk barangnya aman sampai tujuan mksih kk,5,0
jenis kulit: normal bahan: alami manfaat produk: bagus sekali alhamdulillah cocok dikulit ku semoga bisa jd glowing ya,5,0
"bahan: in sya alloh aman manfaat produk: mencerahkan jenis kulit: normal, kering sensitif",5,0
barang sampai dengan kondisi baik semoga cocok,5,0
produk ori dan dikemas dg aman. 1 lagi nyampenya cepat. kemarin order hari ini udh sampe,5,0
bagus cuma sabun nya keluar ga tau bocor atau apa mudah mudahan aja ga banyak keluarnya,5,0
alhamdulillah paketku sudah datang...cepat bgt pengirimannya.,5,0
"serum sudah pecah dri tokonya ini tetapi di biarkan saja, dan ini kondisi tumpah” ka tolong dong ini solusi nya gmn ya kak.",1,0
alhamdullah puas banget pekejingnya bgus dan cpat bnget nyampenya mksi ya😍,5,0
"gimana sih kok pecah kaya gini ganti rugi dong, kirim produk yang rusak tersebut",1,0
"pesanan sampai, kalo soal bagus atau ngga nya, jelas ini bangus banget, aku mulai pakai produk g2g pas mereka pertama kali launching sampai sekarang, dan memang cocok di...",5,0
"paket sampainya cpt bgt, packing nya aman bgt, barang mulus tanpa cacat sampai dengan selamat, terimakasih kk, sukses selalu lancar usahanya, dan semoga produknya cocok d...",5,0
bahan: aman manfaat produk: mencerahkan kulit jenis kulit: normal,5,0
jenis kulit: normal bahan: lembut manfaat produk: melembabkan dan mencerahkan,5,0
bahan: bagus manfaat produk: baik jenis kulit: cocok,5,0
manfaat produk: mencerahkan kulit wajah bahan: lembutt jenis kulit: cocok untuk kulit kusam,5,0
manfaat produk: bagus bangett bahan: ademmm jenis kulit: cocok untuk semua jenis kulittt,5,0
sesuai dengan pesanan.. lain kali order lgy. . untuk pengiriman cepet juga,5,0
bahan: bagus manfaat produk: untuk semua jenis kulit,5,0
"slalu pakai produk g2g, gak pernah bosen pilih smua produk nya krna se cocok dan semantu itu🥰🤗🥰",5,0
bahan: cair manfaat produk: mencerahkan jenis kulit: cocok untuk semua jenis kulit,5,0
pengiriman aman lancar dan ini pembelian paket kedua.semoga cocok seterusnya.,5,0
manfaat produk: untuk mencerahkan bahan: bagus mantap jenis kulit: kering&flek hitam semogaaaa cocok dengan kulitku,5,0
"jenis kulit: kering dan normal paket ku udh sampe, pengiriman cepat packing aman,semoga cocok di aku😊 terimakasih 🙏🏻",5,0
mantap sesuai harapan,5,0
sesuai pesanan jenis kulit: cocok digunakan,5,0
"alhamdulillah barangx sudah sampai makassar aman, dpt hrg 142😍",5,0
"aku beli paket isi 4 tapi yg dateng cuma 2, aku udh kirim vid unboxing udh ikutin saran untuk pengembalian tapi tetep di tolak dengan alasan vid tidak valid. lain kali ka...",1,0
wahh sangat memuaskan barang nya baguss sesuai pesanan pengiriman cepet baru kmrn pesen skrng nyampe packaging nya rapi bubble wrap nya tebel mantab deh pokonya👍,5,0
pengiriman cepet produk nya bener² bagus semoga cocok terus di muka aku bakalan jadi langganan terus .nyerap di muka bikin cerah juga,5,0
manfaat produk: untuk mencerah kan kulit jenis kulit: sawo matang bahan: lembut,5,0
bahan: lembut manfaat produk: mencerahkan jenis kulit: bikin glowing dan bersih,5,0
semua produk aku suka wangi kembut engga lengket,5,0
"ini gmna ko gada tutup nya, cumn bgini doang. syaa liat"" video ada tutup annya.",1,0
pecah kek gini kok masih di kirim udah 2 kali pesan kek gini terus lebih ber hati-hati lagi dong pengirimannya😑😡,1,0
bahan: sesuai dengan pesanan manfaat produk: melembabkan kulit jenis kulit: semua jenis kulit bisa terimakasih seller sudah amanah semoga makin sukses trimakasih jga buat...,5,0
"sesuai sam harga, cepat sampai, pecking ny rapi, ga ada yg produk yg rusak, thanks seller",5,0
bahan: lembut manfaat produk: menghaluskan & menyamakan noda hitam jenis kulit: normal,5,0
terimaksih paketnya sudah mndarat dengan baik tidak ada lecet sedikit pun peking bagus mksh semoga cocok 😁🥰,5,0
bahan: lembut manfaat produk: mecerahkan jenis kulit: normal semoga cocok,5,0
"barang sesuai pesanan,pengemasan produk bagus",5,0
"produk sampai dengan baik, pokoknya puas pake g2g, hasilnya memuaskan",5,0
jenis kulit: berminyak manfaat produk: mencerahkan dan memutihkan kulit bahan: alami,5,0
"pengiriman cepat penjualnya ramah ,di inbox langsung di respon 🙏🏻🥰terimakasih semoga lancar terus 🤲🏻😍",5,0
tokohnya amanah barang sampai dengan cepat dan kemasan nya rapi,5,0
"sengaja baru kasi ulasan sekarang soalnya mau tau hasilnya bagus apa nggak, tapi masyaallah bagus banget yang tadi muka aku kering sekarang jadi lembut dan lembab",5,0
bahan: ok manfaat produk: ok jenis kulit: ok,5,0
"sumpah ini produknya bagus banget,baru aja aku make nya 2 hari udah langsung ada perubahannya bagus banget ini pengiriman nya cepat lagi ngak ada pakai nyangkut2 di perja...",5,0
baru beli semoga cocok kalo cocok auto langganan🫶🫶,5,0
udh cocok pake g2g ga mau pindah k lain lg heheh,5,0
"dh setahun pke g2g alhamdulillah msh baik2 saja,, dh cocok gk mau ganti2 skincare",5,0
sdh.lengkap bagus...belum d coba semoga cocok,5,0
"sudah sampai dengan selamat gk ada goresan, pengemasan rapi",5,0
"barang datang sesuai pesanan, toko amanah pengiriman sangat cepat peking juga rapih, gx nyesel suka beli di toko ini terus.",5,0
"produk nya bagus sesuai dengan pesenan, pengiriman barang nya cepat",5,0
semuanya baik dan cepet juga pengantaran nya,5,0
"wangi bnget, lembut dan hargany terjangkau,,, semoga cocok d aku 😘",5,0
bahan: adalah pokoknya manfaat produk: adalah pokoknya jenis kulit: sawo matang,5,0
bahan: bagus manfaat produk: jerawat dan flek hitam saya hilang.,5,0
skincare nya sesuai pesanan saya dan di pakai nyaman banget di kulit dan tidak mengecewakan .,5,0
paket datanh sesuai pesanan dan cepat pertama coba semoga cocok thanks seller and tiktok 🤗,5,0
manfaat produk: mencerahkan jenis kulit: segala jenis kulit,5,0
"pengiriman cepat packing aman,, baru pertama kali coba semoga cocok👍🏻👍🏻",4,0
pengiriman agak lambat tapi barang nya sesuai dengan pesanan terimakasih.🙏,5,0
"orderan yang kesekian kalinya 😍, aku 32 tahun pake ini cocok loh suka banget",5,0
bahan: bagus manfaat produk: mecerahkan wajah,5,0
"sudah pembelian k2, barang sesuai, pengiriman cepat, terimakasih seller dan pak kurir",5,0
"alhamdulillah barang sudah sampe dan sesuai dengan yg dipesanan, pemgiriman juga cepat, terimakaih seller dan bang kurir smoga sukses selalu",5,0
manfaat produk: kulit menjadi lembab dan terlihat glowing.,5,0
paketnya udah nyampe tapi baru kali dapat sabunnya tumpah dan kebuka plastikya,4,0
"pengiriman relatif cepat, dan barang seperti yg digambar",5,0
manfaat produk: mrncerahkan kulit pokok nya dari dulu aku selalu pakek glad 2glow gk pernah ganti jenis kulit: normal,5,0
"pengiriman cepat, produk sesuai dgn yg dipesan, kurirnya juga ramah & amanah",5,0
creamnya lembut di kulit. pengiriman jg cepat,5,0
kalu di aku produk g2g cocok di aku dan ini juga udah ke 3× nya aku order yang pertama khusus itu acne (hijau) dan untuk order 2 &3 order yang mencerahkan (pink) dan...,5,0
assalamualaikum maaf bru kasi ulasan pketnya g2g alhamdulillah bini gua suka sangat trimakasih tokonya dan amanah selalu thanks jg un kurir nya,4,0
ini pesanan yg ke dua kali..walaupun belum ada perubahan masih pengen nyoba.klw yg ini juga gak ada perubahan yaah terpaksa berhenti .btw sabun nya udah di pake,5,0
"skincare yang super nyaman di wajah,setelah bangun tidur auto glowing badaia",5,0
"jenis kulit: normal,semoga cocok biar terus langganan 🙏🏻",5,0
"pengiriman cepat, packing juga aman, semoga cocok",5,0
"lagi dan lagi tidak mengecewakan,,alhamdulilah di saya juga cocok flek hitam saya mulai memudar,,tokonya keren kualitah barang nya juga kern puas pokok nya 👍👍",5,0
manfaat produk: baik u kulitku jenis kulit: cocok,5,0
maaf baru kasih ulasan. sudah habis 3paket alhamdulillah cocok jenis kulit: normal,5,0
"baru mau nyoba produk yg kata nya best, semoga cocok dikulit aku",5,0
maaf baru review ..🙏🙏100%baik dan ok,5,0
"bahan: lembut dikulit manfaat produk: utk mencerahkan wajah jenis kulit: berminyak ,",5,0
"semoga cocok, barangnya aman pengiriman nya cepet tengku seller 🫶🏻",5,0
"pengiriman cepat, bagus untuk mencerahkan wajah, semoga tokonya selalu amanah",5,0
jenis kulit: sensitif smoga cocok ini pmkaian pket k dua,4,0
thank ya g2g kmrin 12.12 dpt di hrga 100rban 😘,5,0
"lucu ,gak ada kertas cara pke ""a ya",4,0
"aman aman, lengkap juga seperti di foto, makasih",5,0
"suka bgt sampe udh pesen berkali-kali jenis kulit: kusam manfaat produk: mencerahkan, meratakan kulit belang. bahan: baguss bgt",5,0
maaf saya padahal beli karena liat di video sama di etalase ada tas produknya. ini tapi dikirim tanpa tas. untuk produk sesuai deskripsi tp ga sesuai aja antara video yg...,3,0
awalnya mau beli ragu tapi banyak testimoni bilang bagus alhasil langsung beli,5,0
"murah banget selalu dapet promo, berkali kali beli ditoko ini, sudah kadi langganan",5,0
"alhmdllh pket nya udah sampe,,baru kmren pesen ,cepet banget sampe nya,,trimaksih sudah amanah,,kemasan nya rapi,,kurir baik udah langganan",5,0
pengieiman cepat pesen kemarin hari ini udh sampai,5,0
luv banget sama brand ini karena udah ngerubah aku yang tadinya kusam buluk sekarang jadi cerah dan glowing 🥹💗 dan dianter sama mas kurir biasanya yang udah langganan👍...,5,0
"udah ke 5x nya mesan di toko ini amanah, toko nya",5,0
"produk datang dalam kondisi aman, bagus",5,0
"untuk kesekian kalinya😍 pengiriman cepat, packing juga rapih. terimakasih banyak❤🥰",5,0
"alhamdulillah barang udh dateng kemasan rapi dan abang kurir yg ramah,tapi blum dicoba produknya,semoga cocok",5,0
sangat bagus hasil nya bakalan order lgi di toko ini,5,0
"alhamdulillah paket nya sudah sampai,,ini pembelian ke2 walaupun nggk paket lengkap,gpp😊 alhamdulillah masaya allah beli lagi karna ada perubahan,bagus,agak cerahan",5,0
"udh.. sampai dengan selamat, paket ny, produk oxe banget, cepat meresap.. wangi lembut di wajah, sesuai pesanan,oxe banget pokoknya, terimakasih tiktok shop nex order lag...",5,0
"terimakasih, paketan nya sudah tiba. masih segel.",5,0
"udah gaperlu ditanya lagi deh berapa kali beli g2g ini🥹💕 karena udah secocok dan senyaman ini pake g2g, udaah cintaa bgt sm produk ini dan gapernah coba"" yang lain...",5,0
"pesanan sudah sampai,,,kalau yg pencuci muka sebelumnya sudah memakai,,,tetapi untuk yg lain baru mau coba ,,,semoga cocok",5,0
pertama kali pake g2g semoga cocok di kulit aku,5,0
"terimakasih barang nya sesuai sekali, pengiriman cepat",5,0
"bagussssssss, cocok diaku, pemakaian udah tiga minggu dan muka lebih cerah",5,0
"barang bagus, sesuai di gambar sagat bagus",5,0
terimakasih paketnya sudah datang dengan baik. semoga cocok diaku karna baru pertama pake,5,0
"setelah sekian lama menanti akhirnya dtng juga,, semoga cocok di akuh, kurirnya ramah",5,0
barang sesuai..pengirimannya cepat..kurirnya ramah... mudah2an cocok dimuka aq..,5,0
mendarat dengan selamat mantul cocok banget pake ini jadi bersih dan glowing,5,0
bahan: baguss manfaat produk: bagusss jenis kulit: normall emangg yang facial wash nyaa separuh gtu ya isinya,3,0
"barang sesuai yg di pesan dan cepat nyampe nya, pokoknya debest pokoknya 🔥",5,0
"kak kok ga dapet tas nya ya, di iklan nya ada🙏🏻",3,0
perdana nyobain wangiiiiiii bangettt... hasilnya mmg belum kliatan tpi berasa beda kok..,4,0
"alhamdulillah cocok, bekas jerawat memudar, makasih",5,0
paket sudah datang aman makasih seller🙏🙏,5,0
"barang sdh di terima, baru mulai pakai semoga cocok",4,0
"alhmdulillah barang nya udah sampai,semoga cocok💗",5,0
aq udah order ke sekian x nya.. pokonya alhamdulillah sekarang muka aq cerah..,5,0
sesuai deskripsi semoga cocok di kulit ku,5,0
"pengiriman sangat cepat, packing amann, promonya ga kaleng² 😍😍 90 rb dapet 4 pcs dong 😍😍",5,0
"alhamdulillah paket ku datang, packing aman jadi tidak rusak, thanks🥰",5,0
ga asik banget g2g dikirkm cuman 3 item harusnya 4. ga sesuai ga bisa kirim vidio unboxing sblm2 nya ga prnh kekurangan item nya sepercaya itu sama paket bundling g2g mak...,1,0
"barang dtng sesuai,cma yg buat cuci muka,isi nya cma setengh,kecewa sih",3,0
alhamdulillah barang sudah sampai dengan aman dan cocok di aku udah 2 kali pesanan wajah aku jadi lebih cerah suka banget sama produknya soalnya wangi banget sukses selal...,5,0
"cepet bgt pesen baru sehari sampe, mantul pokoknya",4,0
maaf kak produk yg di kirimkan kurang lengkap.,1,0
alhmdllh pktnya sudah dtng cpt skli brng2nya jg ocey semua trimakasih,5,0
kesekian kalinya beli.. emg semantul itu produk g2g. bisa hilangin komedo muka gradakan 🥰 lov lov buat g2g ❤️,5,0
"terimakasih seller,,, produk nya sesuai smga cocok di muka aku,,, untuk kurir juga ramah baik",3,0
"barang sudah datang sesuai dengan pesanan,, blm di pakai semoga barang cocok dn bisa pesan kembali.",5,0
barangdatang sesuai pesanan cepat sampainya,5,0
baru pertama makez semoga rangkaiannya cocok,5,0
terima kasih paket nya sudah datang semoga lancar terus g2g dan toko nya aku sangat suka banget produk nya 🥰,5,0
"bagus bangett sesuii,,tapii facial wash nyaa setengahh pdhll belum d pkee,,tapi gapapa lahh sukakk bangett 🥰🥰",5,0
baguss. smga ccok tapi sayang facial wash nya cuma isi setangah gak ful,3,0
paket nya sudah sampai dengan baik produknya sesuai alhamdulillah cocok di aku muka aq sekarang lebih cerah dan glowing,5,0
bagus bngt produknya cocok dimuka akuhhh hehheeh,5,0
baru mau nyoba semoga suaka sama hasilnya dan cocok di muka aku,5,0
"brang smpai dengan selamat,packing rapih,kurir dah lngganan,eh maaf facial wash nya tk ke phto,,lmbut di wajah dan wangi jga,,",4,0
"produk sesuai pesanan,smoga cocok di wajahku",5,0
semoga aja cocok baru pertama pamakainan soalnya,5,0
packingan ny bagus mudah mudahan cocok sma kulit ku,5,0
"alhamdulillah paketnya dah sampai, lngsung di aplikasikan dong di wajah, so kebetulan stock yg drumh uda pad habis,",5,0
suka bget produk ini... uda order yg ke 4 cocok di wajah aq..,5,0
"paket dh nyampek dngn slmat,baru prtma kali pake smoga ccok",4,0
"akhirnya yg di tunggu nyampe ,mendarat dgn selamat pokonya co yg kesekian kalinya produk nya memang seoke itu",5,0
"paketnya udah d terima,,, takirain ada krim mlmnya ternyata gk ada tpi gpp lh,,",5,0
"paket g2g nya dach nyampe, pengiriman cepet bgt.",5,0
baru smpe kk paket nya maksih semoga cocok kk d muka ku baru mau pake,5,0
"terimakasih paketnya sudah ada,pertamakali paket semoga cocok🙏😇😇",4,0
trimakaaih barang sudah sampai dg cepat... cocok sama di kulit saya...,5,0
"baru pertama pakai skincare , semoga cocok",4,0
barang sudah sampai sesuai pesanan. baru nyoba dan mudah²an cocok,5,0
"alhamdulillah kak paketnya sudah dateng, dan sesuai dengan pesanan, terimakasih banyak kak🙏🙏🙏",5,0
"barang sampai dgn selamat,,mudah mudahan cocok yaa pemakaian g2g..",5,0
"terimakasih,alhamdulillah pengiriman ny cepat,,mantap..👍👍",5,0
ini gmn ko bru buka plastiik prtma..plastik dlem nya udh di robek² kaya bekas buka kcewa..,1,0
pengiriman aman dan cepat sukaaa bgt sama glad2glow terimakasih,5,0
karna bumil aku balik lagi kesini emang mantul sih🤭🤩,5,0
barang y bagus pokoknya mantap dah,5,0
"paketnya udah sampee,tp yg 2 gak kepoto,karna udah dibawa sama anakk,mudah2n cocok untuk anak ku",5,0
barang nya udah mendarat dengan baik baru pertama nyoba semoga cocok dengan kulit ku,5,0
thx barang sesuai postingan goodjob...best seller...,5,0
bagus produk origional semoga cocok 🤲🥰,5,0
barang sih bgus tapi sabun nya aroma nya nyengat betul,3,0
"pesen yang 4in datangnya 2,udah chat admin tpi nunggu valid truss",1,0
"mantap barang sesuai mkasih seller , mkasih juga buat bang kurirnya",5,0
2 paket pertama barter ini yg ke 3 👍👍👍,5,0
produknya mantepp polll manfaat produk: mencerahkan,5,0
"udah cocok, gk mau ganti ke lain lagi",5,0
"manfaat produk: mencerahkan jenis kulit: kombinasi inieh baguss sekaliii cock dimulai aku, makasiii hhiiii 😍😍😍",5,0
"lovvvv bangettttt, uda seringg co disini...",5,0
gak sesuai banget kecewa toner nya gak ada malah di ganti sama serum merah,2,0
pokoknya nyerahin kulit aku biar lebih glowing lagi.mudah mudahan cocok di aku. packingan yg rapih.,5,0
"alhamdulillah.. barang sampai dgn selamat thank seler fast respon,thank babang kurir",5,0
"yang dateng cumah 3 , moisnya gak ada",3,0
"barang sudah d treima dengan aman,,puas belnja d toko ini",5,0
alhamdulillah sampe amanah semoga cocok cepet sampai nya,4,0
alhamdulillah paketnyah udh dateng cepat bngt 😊 mudah mudahan cocok di aku yh saya pemula,5,0
"sudah datang paket nya aku baru mau nyoba semoga cocok, kalo cocok di aku order balik thanks [drool]",5,0
dapet free peling🫶🏻 makasih ya g2g🫶🏻,5,0
alhamdulillah paketnya samapinya tidak lama semoga cocok dimuka aku,5,0
"pket y dah smpe , semoga cocok dengn produk glad2glow, sesuai degan yg d pesen",4,0
pembelian ke 4 👍(2 paket pertama hanya moist skin barier+serum aja) 2 paket berikutnya yang ini 😍,5,0
baru dicoba semoga cocok diwajah anak gadis qu. trimakasih barang lengkap. cepat datang nya. kurir ramaj,5,0
brang tertulis dpt 4 pcs tp yg dtg cuma 3 pcs,2,0
"semoga cocok,,syg g dpt pouch nny",5,0
"udh beli 2x dtoko ni,barangnya ori,mksh",5,0
baru pertama kali coba smoga hasilnya memuaskan,5,0
"sesuai, ori",5,0
alhamdulillah sudah langganan mantap,5,0
👍🏻👍🏻👍🏻👍🏻,5,0
semoga cocok aku pemakaian prtama,5,0
"barang datang dengan baik, produk sesuai",5,0
apakah bisa d kirim lgi mois ny,3,0
udah co ke 3x nya alhmdulillah cocok,4,0
facial washnya kok bukan yg pink y kak,4,0
"sesuai pesanan, baru coba fw yg ini semoga cocok",5,0
kirain facial wash nya yg dateng milk eh yg blueberry,5,0
se♥️♥️♥️ itu sama glad2glow ini udh yang sekian kalinya beli di toko official nya,5,0
terimaksih sesuai pesanan,4,0
"bahan: lembut dan halus manfaat produk: bagus banget bikin kulit lembab dan cerah jenis kulit: teruntuk kulitku yang berminyak, tidak membuat kulit jadi mengkilat",5,0
"alhamdulillah cocok. makin glowing mie mukak makasih,",5,0
kok cuci muka sama toner nya beda? aku kira bakal pink semua,2,0
"bagus, sesuai pesanan, semoga cocok 🥰",5,0
paket sudah sampai alhamdulillah sesuai dengan pesanan udh langganan best👍,5,0
"brang sudah di kirim dengan cepat, mkasih semoga cocok 🥰",5,0
bru pertma nyoba mudh mudhn ini cocok,5,0
"pakai product g2g kedua kali, cocok dan bagus banget ke kulit wajah,, dan pengiriman cepat, aman packaging juga.. mantap.. trimss",5,0
"bahan: cair, halus manfaat produk: cocok untuk kulit jenis kulit: cocok sekali dikulit ku",5,0
alhamdulillah barang sudah sampai sesuai pesanan terimakasih kotonya amanah,5,0
serum nya pecah gak tersisa parah,1,0
"barang datang lengkap sesuai dengan deskripsi, bahan yang digunakan bagus untuk mencerahkan wajah.",5,0
"sesuai pesanan cuma aku kira tonernya besar ternyata toner nya kecill, but over all baguss",4,0
paket nyampe produk lengkap alhamdulillah udah order 2 x ini barang original kulit wajah jadi halus kenceng glowing gk kusem seger..,5,0
bahan: - manfaat produk: mencerahkan jenis kulit: susah putih/kering,5,0
"pengiriman cepat,barang tidak ada yang rusak, sangat baik, dan produk ny emng se bagus itu , aku sampai udh beli beberapa kali emng mantul buat mencerahkan 👍🏻",5,0
"alhamdulillag cocok dimuka ku, sukaa, thanks kak🥰",5,0
alhamdulillah udah sampai bagus dan amanah,5,0
"mksih,, sesuai,, q suka,, ma'af baru kasih bintang, ☺️ byarlh bintang yg mnilaixa☺️",5,0
jenis kulit: normal bahan: bagus manfaat produk: mencerahkan,5,0
bahan: bagus manfaat produk: bagus jenis kulit: cocok untuk kulit,5,0
mantappp produk nya ori dan hasil nya uda lumayan bagus mau order lg lah buat stok,5,0
bahan: nya lebut dan harus jenis kulit: cocok buat kulit kusam,5,0
"paketnya sudah sampai sesuai pesanan, packingnya rapi dan aman gk takut bocor. alhamdllh dapet harga promo kemarin jadi murah beli satu setnya😁 terima kasih untuk seler...",5,0
bahan lembut dan tdk menyengak enak di pakai cocok dengan kulit sy yg kering,5,0
"manfaat produk: melembabkan, mencerahkan, bikin glowing jenis kulit: normal bahan: baguss",5,0
bagus bawgat muka cerah halus komedo juga mendinga padaha cuman checkot 1 kli blum habis juga lembuh di muka,4,0
produk sudah sampai mudah mudahan saya cocok dengan produk ini,5,0
"bareng y sudah redy,pengiriman cepat,",5,0
bahan: sempurna manfaat produk: mencerahkan kulit jenis kulit: kering dan noda membandel sekarang sudah cerah....mantap,5,0
bahan: bagus manfaat produk: sangat bagus jenis kulit: ngeflek,5,0
manfaat produk: cocok untuk wajah kusam jenis kulit: kulit kering dan kusam,4,0
"sesuai pesanan,, ngk ada yg bocor atau gmna, smua nya aman,,",5,0
bahan: bagus manfaat produk: mencerahkan jenis kulit: normal,5,0
paket sudah sampai dg aman dan cepat...semoga cocok dg produknya.. trimakasih tokopedia jg ban kurir,5,0
bahan: bagus manfaat produk: bagus jenis kulit: pas,5,0
bahan: bagus manfaat produk: menghilangkan keriput jenis kulit: normal,5,0
bahan: bagus cocok d kulit manfaat produk: cepat mencerahkan,5,0
bahan: lembut manfaat produk: untuk perawatan kulit jenis kulit: semua jenis kulit,5,0
paket sudah sampai barang bagus semua,5,0
"baguss bikin muka glowing, tapi ak hari pertama pemakaian muka ak terkelupas",5,0
bahan: bgguss manfaat produk: baguss jenis kulit: kering,5,0
"bagusss bgtttt akuuu sukaaa, dikulitttakuu jugaa cocokk mantepp bgtt glad2gloww",5,0
bahan: baik manfaat produk: kata nya si buat mencerahkan kan jenis kulit: semoga cocok,5,0
"mantep 👍 cepat kali order kemaren hari ini mendarat dgn selamat🥰 thank untuk kurir nya jga, 👍 btw order yg ke 2 x nya😁",5,0
